Notes,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Microcephaly,Q02,< 1 year,1,16,3978038,Unreliable
,Microcephaly,Q02,1-4 years,1-4,9,15929243,Unreliable
,Microcephaly,Q02,5-14 years,5-14,6,41109506,Unreliable
,Microcephaly,Q02,15-24 years,15-24,8,43848216,Unreliable
,Microcephaly,Q02,25-34 years,25-34,10,44137202,Unreliable
,Microcephaly,Q02,35-44 years,35-44,4,40589783,Unreliable
,Microcephaly,Q02,45-54 years,45-54,7,43188161,Unreliable
,Microcephaly,Q02,55-64 years,55-64,3,40877819,Unreliable
,Microcephaly,Q02,65-74 years,65-74,3,27550517,Unreliable
,Microcephaly,Q02,75-84 years,75-84,2,13923174,Unreliable
,Malformations of aqueduct of Sylvius,Q03.0,< 1 year,1,4,3978038,Unreliable
,Malformations of aqueduct of Sylvius,Q03.0,1-4 years,1-4,1,15929243,Unreliable
,Malformations of aqueduct of Sylvius,Q03.0,25-34 years,25-34,1,44137202,Unreliable
,Malformations of aqueduct of Sylvius,Q03.0,35-44 years,35-44,1,40589783,Unreliable
,Malformations of aqueduct of Sylvius,Q03.0,45-54 years,45-54,1,43188161,Unreliable
,Atresia of foramina of Magendie and Luschka,Q03.1,< 1 year,1,12,3978038,Unreliable
,Atresia of foramina of Magendie and Luschka,Q03.1,1-4 years,1-4,3,15929243,Unreliable
,Atresia of foramina of Magendie and Luschka,Q03.1,5-14 years,5-14,5,41109506,Unreliable
,Atresia of foramina of Magendie and Luschka,Q03.1,15-24 years,15-24,4,43848216,Unreliable
,Atresia of foramina of Magendie and Luschka,Q03.1,35-44 years,35-44,2,40589783,Unreliable
,Atresia of foramina of Magendie and Luschka,Q03.1,45-54 years,45-54,4,43188161,Unreliable
,Atresia of foramina of Magendie and Luschka,Q03.1,55-64 years,55-64,1,40877819,Unreliable
,Atresia of foramina of Magendie and Luschka,Q03.1,65-74 years,65-74,2,27550517,Unreliable
,Other congenital hydrocephalus,Q03.8,< 1 year,1,3,3978038,Unreliable
,"Congenital hydrocephalus, unspecified",Q03.9,< 1 year,1,51,3978038,1.3
,"Congenital hydrocephalus, unspecified",Q03.9,1-4 years,1-4,18,15929243,Unreliable
,"Congenital hydrocephalus, unspecified",Q03.9,5-14 years,5-14,12,41109506,Unreliable
,"Congenital hydrocephalus, unspecified",Q03.9,15-24 years,15-24,8,43848216,Unreliable
,"Congenital hydrocephalus, unspecified",Q03.9,25-34 years,25-34,3,44137202,Unreliable
,"Congenital hydrocephalus, unspecified",Q03.9,35-44 years,35-44,9,40589783,Unreliable
,"Congenital hydrocephalus, unspecified",Q03.9,45-54 years,45-54,5,43188161,Unreliable
,"Congenital hydrocephalus, unspecified",Q03.9,55-64 years,55-64,7,40877819,Unreliable
,"Congenital hydrocephalus, unspecified",Q03.9,65-74 years,65-74,5,27550517,Unreliable
,Congenital malformations of corpus callosum,Q04.0,< 1 year,1,2,3978038,Unreliable
,Congenital malformations of corpus callosum,Q04.0,1-4 years,1-4,5,15929243,Unreliable
,Congenital malformations of corpus callosum,Q04.0,5-14 years,5-14,9,41109506,Unreliable
,Congenital malformations of corpus callosum,Q04.0,15-24 years,15-24,4,43848216,Unreliable
,Congenital malformations of corpus callosum,Q04.0,25-34 years,25-34,3,44137202,Unreliable
,Congenital malformations of corpus callosum,Q04.0,35-44 years,35-44,1,40589783,Unreliable
,Holoprosencephaly,Q04.2,< 1 year,1,98,3978038,2.5
,Holoprosencephaly,Q04.2,1-4 years,1-4,12,15929243,Unreliable
,Holoprosencephaly,Q04.2,5-14 years,5-14,5,41109506,Unreliable
,Holoprosencephaly,Q04.2,15-24 years,15-24,3,43848216,Unreliable
,Holoprosencephaly,Q04.2,45-54 years,45-54,1,43188161,Unreliable
,Other reduction deformities of brain,Q04.3,< 1 year,1,69,3978038,1.7
,Other reduction deformities of brain,Q04.3,1-4 years,1-4,15,15929243,Unreliable
,Other reduction deformities of brain,Q04.3,5-14 years,5-14,20,41109506,0
,Other reduction deformities of brain,Q04.3,15-24 years,15-24,12,43848216,Unreliable
,Other reduction deformities of brain,Q04.3,25-34 years,25-34,4,44137202,Unreliable
,Other reduction deformities of brain,Q04.3,65-74 years,65-74,1,27550517,Unreliable
,Septo-optic dysplasia,Q04.4,< 1 year,1,2,3978038,Unreliable
,Septo-optic dysplasia,Q04.4,1-4 years,1-4,4,15929243,Unreliable
,Septo-optic dysplasia,Q04.4,5-14 years,5-14,3,41109506,Unreliable
,Septo-optic dysplasia,Q04.4,15-24 years,15-24,1,43848216,Unreliable
,Megalencephaly,Q04.5,5-14 years,5-14,1,41109506,Unreliable
,Congenital cerebral cysts,Q04.6,< 1 year,1,9,3978038,Unreliable
,Congenital cerebral cysts,Q04.6,1-4 years,1-4,7,15929243,Unreliable
,Congenital cerebral cysts,Q04.6,5-14 years,5-14,13,41109506,Unreliable
,Congenital cerebral cysts,Q04.6,15-24 years,15-24,2,43848216,Unreliable
,Congenital cerebral cysts,Q04.6,25-34 years,25-34,3,44137202,Unreliable
,Congenital cerebral cysts,Q04.6,35-44 years,35-44,1,40589783,Unreliable
,Congenital cerebral cysts,Q04.6,65-74 years,65-74,1,27550517,Unreliable
,Other specified congenital malformations of brain,Q04.8,< 1 year,1,9,3978038,Unreliable
,Other specified congenital malformations of brain,Q04.8,1-4 years,1-4,2,15929243,Unreliable
,Other specified congenital malformations of brain,Q04.8,5-14 years,5-14,1,41109506,Unreliable
,Other specified congenital malformations of brain,Q04.8,35-44 years,35-44,1,40589783,Unreliable
,Other specified congenital malformations of brain,Q04.8,75-84 years,75-84,1,13923174,Unreliable
,"Congenital malformation of brain, unspecified",Q04.9,< 1 year,1,44,3978038,1.1
,"Congenital malformation of brain, unspecified",Q04.9,1-4 years,1-4,10,15929243,Unreliable
,"Congenital malformation of brain, unspecified",Q04.9,5-14 years,5-14,7,41109506,Unreliable
,"Congenital malformation of brain, unspecified",Q04.9,15-24 years,15-24,6,43848216,Unreliable
,"Congenital malformation of brain, unspecified",Q04.9,35-44 years,35-44,7,40589783,Unreliable
,"Congenital malformation of brain, unspecified",Q04.9,45-54 years,45-54,2,43188161,Unreliable
,"Congenital malformation of brain, unspecified",Q04.9,55-64 years,55-64,2,40877819,Unreliable
,"Congenital malformation of brain, unspecified",Q04.9,65-74 years,65-74,5,27550517,Unreliable
,"Congenital malformation of brain, unspecified",Q04.9,75-84 years,75-84,2,13923174,Unreliable
,Lumbar spina bifida with hydrocephalus,Q05.2,55-64 years,55-64,1,40877819,Unreliable
,Unspecified spina bifida with hydrocephalus,Q05.4,< 1 year,1,4,3978038,Unreliable
,Unspecified spina bifida with hydrocephalus,Q05.4,5-14 years,5-14,4,41109506,Unreliable
,Unspecified spina bifida with hydrocephalus,Q05.4,15-24 years,15-24,7,43848216,Unreliable
,Unspecified spina bifida with hydrocephalus,Q05.4,25-34 years,25-34,10,44137202,Unreliable
,Unspecified spina bifida with hydrocephalus,Q05.4,35-44 years,35-44,10,40589783,Unreliable
,Unspecified spina bifida with hydrocephalus,Q05.4,45-54 years,45-54,2,43188161,Unreliable
,Unspecified spina bifida with hydrocephalus,Q05.4,55-64 years,55-64,1,40877819,Unreliable
,Unspecified spina bifida with hydrocephalus,Q05.4,65-74 years,65-74,1,27550517,Unreliable
,"Spina bifida, unspecified",Q05.9,< 1 year,1,9,3978038,Unreliable
,"Spina bifida, unspecified",Q05.9,1-4 years,1-4,2,15929243,Unreliable
,"Spina bifida, unspecified",Q05.9,5-14 years,5-14,3,41109506,Unreliable
,"Spina bifida, unspecified",Q05.9,15-24 years,15-24,15,43848216,Unreliable
,"Spina bifida, unspecified",Q05.9,25-34 years,25-34,29,44137202,0.1
,"Spina bifida, unspecified",Q05.9,35-44 years,35-44,30,40589783,0.1
,"Spina bifida, unspecified",Q05.9,45-54 years,45-54,33,43188161,0.1
,"Spina bifida, unspecified",Q05.9,55-64 years,55-64,9,40877819,Unreliable
,"Spina bifida, unspecified",Q05.9,65-74 years,65-74,7,27550517,Unreliable
,"Spina bifida, unspecified",Q05.9,75-84 years,75-84,5,13923174,Unreliable
,"Spina bifida, unspecified",Q05.9,85+ years,85+,3,6287161,Unreliable
,Amyelia,Q06.0,< 1 year,1,1,3978038,Unreliable
,Other specified congenital malformations of spinal cord,Q06.8,< 1 year,1,1,3978038,Unreliable
,"Congenital malformation of spinal cord, unspecified",Q06.9,5-14 years,5-14,1,41109506,Unreliable
,"Congenital malformation of spinal cord, unspecified",Q06.9,45-54 years,45-54,1,43188161,Unreliable
,"Congenital malformation of spinal cord, unspecified",Q06.9,65-74 years,65-74,1,27550517,Unreliable
,"Congenital malformation of spinal cord, unspecified",Q06.9,85+ years,85+,1,6287161,Unreliable
,Arnold-Chiari syndrome,Q07.0,< 1 year,1,1,3978038,Unreliable
,Arnold-Chiari syndrome,Q07.0,1-4 years,1-4,3,15929243,Unreliable
,Arnold-Chiari syndrome,Q07.0,5-14 years,5-14,1,41109506,Unreliable
,Arnold-Chiari syndrome,Q07.0,25-34 years,25-34,7,44137202,Unreliable
,Arnold-Chiari syndrome,Q07.0,35-44 years,35-44,7,40589783,Unreliable
,Arnold-Chiari syndrome,Q07.0,45-54 years,45-54,3,43188161,Unreliable
,Arnold-Chiari syndrome,Q07.0,55-64 years,55-64,2,40877819,Unreliable
,Arnold-Chiari syndrome,Q07.0,65-74 years,65-74,2,27550517,Unreliable
,Arnold-Chiari syndrome,Q07.0,85+ years,85+,1,6287161,Unreliable
,"Congenital malformation of nervous system, unspecified",Q07.9,< 1 year,1,11,3978038,Unreliable
,"Congenital malformation of nervous system, unspecified",Q07.9,1-4 years,1-4,5,15929243,Unreliable
,"Congenital malformation of nervous system, unspecified",Q07.9,5-14 years,5-14,1,41109506,Unreliable
,"Congenital malformation of nervous system, unspecified",Q07.9,15-24 years,15-24,1,43848216,Unreliable
,"Congenital malformation of nervous system, unspecified",Q07.9,45-54 years,45-54,1,43188161,Unreliable
,"Congenital malformation of eye, unspecified",Q15.9,< 1 year,1,1,3978038,Unreliable
,Other branchial cleft malformations,Q18.2,< 1 year,1,1,3978038,Unreliable
,"Congenital malformation of face and neck, unspecified",Q18.9,< 1 year,1,1,3978038,Unreliable
,Common arterial trunk,Q20.0,< 1 year,1,32,3978038,0.8
,Common arterial trunk,Q20.0,1-4 years,1-4,1,15929243,Unreliable
,Common arterial trunk,Q20.0,15-24 years,15-24,1,43848216,Unreliable
,Double outlet right ventricle,Q20.1,< 1 year,1,17,3978038,Unreliable
,Double outlet right ventricle,Q20.1,1-4 years,1-4,2,15929243,Unreliable
,Double outlet right ventricle,Q20.1,5-14 years,5-14,1,41109506,Unreliable
,Double outlet right ventricle,Q20.1,35-44 years,35-44,1,40589783,Unreliable
,Discordant ventriculoarterial connection,Q20.3,< 1 year,1,29,3978038,0.7
,Discordant ventriculoarterial connection,Q20.3,1-4 years,1-4,6,15929243,Unreliable
,Discordant ventriculoarterial connection,Q20.3,5-14 years,5-14,6,41109506,Unreliable
,Discordant ventriculoarterial connection,Q20.3,15-24 years,15-24,7,43848216,Unreliable
,Discordant ventriculoarterial connection,Q20.3,25-34 years,25-34,13,44137202,Unreliable
,Discordant ventriculoarterial connection,Q20.3,35-44 years,35-44,15,40589783,Unreliable
,Discordant ventriculoarterial connection,Q20.3,45-54 years,45-54,8,43188161,Unreliable
,Discordant ventriculoarterial connection,Q20.3,55-64 years,55-64,2,40877819,Unreliable
,Discordant ventriculoarterial connection,Q20.3,65-74 years,65-74,1,27550517,Unreliable
,Discordant ventriculoarterial connection,Q20.3,85+ years,85+,1,6287161,Unreliable
,Double inlet ventricle,Q20.4,< 1 year,1,14,3978038,Unreliable
,Double inlet ventricle,Q20.4,1-4 years,1-4,1,15929243,Unreliable
,Double inlet ventricle,Q20.4,5-14 years,5-14,2,41109506,Unreliable
,Double inlet ventricle,Q20.4,15-24 years,15-24,7,43848216,Unreliable
,Double inlet ventricle,Q20.4,35-44 years,35-44,1,40589783,Unreliable
,Double inlet ventricle,Q20.4,45-54 years,45-54,2,43188161,Unreliable
,Double inlet ventricle,Q20.4,55-64 years,55-64,1,40877819,Unreliable
,Isomerism of atrial appendages,Q20.6,< 1 year,1,1,3978038,Unreliable
,Other congenital malformations of cardiac chambers and connections,Q20.8,25-34 years,25-34,1,44137202,Unreliable
,Other congenital malformations of cardiac chambers and connections,Q20.8,35-44 years,35-44,1,40589783,Unreliable
,Other congenital malformations of cardiac chambers and connections,Q20.8,45-54 years,45-54,3,43188161,Unreliable
,Other congenital malformations of cardiac chambers and connections,Q20.8,55-64 years,55-64,1,40877819,Unreliable
,Other congenital malformations of cardiac chambers and connections,Q20.8,65-74 years,65-74,1,27550517,Unreliable
,Other congenital malformations of cardiac chambers and connections,Q20.8,75-84 years,75-84,1,13923174,Unreliable
,Ventricular septal defect,Q21.0,< 1 year,1,19,3978038,Unreliable
,Ventricular septal defect,Q21.0,1-4 years,1-4,5,15929243,Unreliable
,Ventricular septal defect,Q21.0,5-14 years,5-14,1,41109506,Unreliable
,Ventricular septal defect,Q21.0,15-24 years,15-24,2,43848216,Unreliable
,Ventricular septal defect,Q21.0,25-34 years,25-34,5,44137202,Unreliable
,Ventricular septal defect,Q21.0,35-44 years,35-44,7,40589783,Unreliable
,Ventricular septal defect,Q21.0,45-54 years,45-54,10,43188161,Unreliable
,Ventricular septal defect,Q21.0,55-64 years,55-64,10,40877819,Unreliable
,Ventricular septal defect,Q21.0,65-74 years,65-74,14,27550517,Unreliable
,Ventricular septal defect,Q21.0,75-84 years,75-84,18,13923174,Unreliable
,Ventricular septal defect,Q21.0,85+ years,85+,7,6287161,Unreliable
,Atrial septal defect,Q21.1,< 1 year,1,12,3978038,Unreliable
,Atrial septal defect,Q21.1,1-4 years,1-4,1,15929243,Unreliable
,Atrial septal defect,Q21.1,5-14 years,5-14,1,41109506,Unreliable
,Atrial septal defect,Q21.1,15-24 years,15-24,3,43848216,Unreliable
,Atrial septal defect,Q21.1,25-34 years,25-34,4,44137202,Unreliable
,Atrial septal defect,Q21.1,35-44 years,35-44,9,40589783,Unreliable
,Atrial septal defect,Q21.1,45-54 years,45-54,17,43188161,Unreliable
,Atrial septal defect,Q21.1,55-64 years,55-64,13,40877819,Unreliable
,Atrial septal defect,Q21.1,65-74 years,65-74,26,27550517,0.1
,Atrial septal defect,Q21.1,75-84 years,75-84,36,13923174,0.3
,Atrial septal defect,Q21.1,85+ years,85+,26,6287161,0.4
,Atrioventricular septal defect,Q21.2,< 1 year,1,35,3978038,0.9
,Atrioventricular septal defect,Q21.2,1-4 years,1-4,6,15929243,Unreliable
,Atrioventricular septal defect,Q21.2,5-14 years,5-14,3,41109506,Unreliable
,Atrioventricular septal defect,Q21.2,15-24 years,15-24,2,43848216,Unreliable
,Atrioventricular septal defect,Q21.2,25-34 years,25-34,3,44137202,Unreliable
,Atrioventricular septal defect,Q21.2,35-44 years,35-44,1,40589783,Unreliable
,Atrioventricular septal defect,Q21.2,45-54 years,45-54,2,43188161,Unreliable
,Atrioventricular septal defect,Q21.2,55-64 years,55-64,4,40877819,Unreliable
,Atrioventricular septal defect,Q21.2,65-74 years,65-74,2,27550517,Unreliable
,Atrioventricular septal defect,Q21.2,75-84 years,75-84,3,13923174,Unreliable
,Atrioventricular septal defect,Q21.2,85+ years,85+,5,6287161,Unreliable
,Tetralogy of Fallot,Q21.3,< 1 year,1,51,3978038,1.3
,Tetralogy of Fallot,Q21.3,1-4 years,1-4,8,15929243,Unreliable
,Tetralogy of Fallot,Q21.3,5-14 years,5-14,6,41109506,Unreliable
,Tetralogy of Fallot,Q21.3,15-24 years,15-24,9,43848216,Unreliable
,Tetralogy of Fallot,Q21.3,25-34 years,25-34,13,44137202,Unreliable
,Tetralogy of Fallot,Q21.3,35-44 years,35-44,16,40589783,Unreliable
,Tetralogy of Fallot,Q21.3,45-54 years,45-54,14,43188161,Unreliable
,Tetralogy of Fallot,Q21.3,55-64 years,55-64,16,40877819,Unreliable
,Tetralogy of Fallot,Q21.3,65-74 years,65-74,6,27550517,Unreliable
,Tetralogy of Fallot,Q21.3,75-84 years,75-84,1,13923174,Unreliable
,Tetralogy of Fallot,Q21.3,85+ years,85+,2,6287161,Unreliable
,Aortopulmonary septal defect,Q21.4,< 1 year,1,1,3978038,Unreliable
,Aortopulmonary septal defect,Q21.4,15-24 years,15-24,1,43848216,Unreliable
,Aortopulmonary septal defect,Q21.4,25-34 years,25-34,1,44137202,Unreliable
,Other congenital malformations of cardiac septa,Q21.8,55-64 years,55-64,1,40877819,Unreliable
,"Congenital malformation of cardiac septum, unspecified",Q21.9,< 1 year,1,2,3978038,Unreliable
,"Congenital malformation of cardiac septum, unspecified",Q21.9,35-44 years,35-44,1,40589783,Unreliable
,"Congenital malformation of cardiac septum, unspecified",Q21.9,55-64 years,55-64,1,40877819,Unreliable
,"Congenital malformation of cardiac septum, unspecified",Q21.9,85+ years,85+,1,6287161,Unreliable
,Pulmonary valve atresia,Q22.0,< 1 year,1,2,3978038,Unreliable
,Pulmonary valve atresia,Q22.0,25-34 years,25-34,1,44137202,Unreliable
,Congenital pulmonary valve stenosis,Q22.1,< 1 year,1,3,3978038,Unreliable
,Congenital pulmonary valve stenosis,Q22.1,25-34 years,25-34,1,44137202,Unreliable
,Congenital pulmonary valve insufficiency,Q22.2,< 1 year,1,1,3978038,Unreliable
,Other congenital malformations of pulmonary valve,Q22.3,< 1 year,1,1,3978038,Unreliable
,Congenital tricuspid stenosis,Q22.4,< 1 year,1,4,3978038,Unreliable
,Congenital tricuspid stenosis,Q22.4,1-4 years,1-4,2,15929243,Unreliable
,Congenital tricuspid stenosis,Q22.4,5-14 years,5-14,2,41109506,Unreliable
,Congenital tricuspid stenosis,Q22.4,15-24 years,15-24,2,43848216,Unreliable
,Congenital tricuspid stenosis,Q22.4,25-34 years,25-34,5,44137202,Unreliable
,Congenital tricuspid stenosis,Q22.4,35-44 years,35-44,3,40589783,Unreliable
,Congenital tricuspid stenosis,Q22.4,45-54 years,45-54,3,43188161,Unreliable
,Ebstein's anomaly,Q22.5,< 1 year,1,26,3978038,0.7
,Ebstein's anomaly,Q22.5,1-4 years,1-4,1,15929243,Unreliable
,Ebstein's anomaly,Q22.5,5-14 years,5-14,2,41109506,Unreliable
,Ebstein's anomaly,Q22.5,15-24 years,15-24,3,43848216,Unreliable
,Ebstein's anomaly,Q22.5,25-34 years,25-34,1,44137202,Unreliable
,Ebstein's anomaly,Q22.5,35-44 years,35-44,2,40589783,Unreliable
,Ebstein's anomaly,Q22.5,45-54 years,45-54,1,43188161,Unreliable
,Ebstein's anomaly,Q22.5,55-64 years,55-64,3,40877819,Unreliable
,Ebstein's anomaly,Q22.5,65-74 years,65-74,1,27550517,Unreliable
,Ebstein's anomaly,Q22.5,75-84 years,75-84,1,13923174,Unreliable
,Ebstein's anomaly,Q22.5,85+ years,85+,1,6287161,Unreliable
,Hypoplastic right heart syndrome,Q22.6,< 1 year,1,7,3978038,Unreliable
,Hypoplastic right heart syndrome,Q22.6,1-4 years,1-4,1,15929243,Unreliable
,Hypoplastic right heart syndrome,Q22.6,5-14 years,5-14,1,41109506,Unreliable
,Hypoplastic right heart syndrome,Q22.6,45-54 years,45-54,1,43188161,Unreliable
,Other congenital malformations of tricuspid valve,Q22.8,< 1 year,1,3,3978038,Unreliable
,"Congenital malformation of tricuspid valve, unspecified",Q22.9,< 1 year,1,1,3978038,Unreliable
,Congenital stenosis of aortic valve,Q23.0,< 1 year,1,20,3978038,0.5
,Congenital stenosis of aortic valve,Q23.0,5-14 years,5-14,1,41109506,Unreliable
,Congenital stenosis of aortic valve,Q23.0,25-34 years,25-34,2,44137202,Unreliable
,Congenital stenosis of aortic valve,Q23.0,35-44 years,35-44,2,40589783,Unreliable
,Congenital stenosis of aortic valve,Q23.0,45-54 years,45-54,2,43188161,Unreliable
,Congenital stenosis of aortic valve,Q23.0,55-64 years,55-64,1,40877819,Unreliable
,Congenital stenosis of aortic valve,Q23.0,75-84 years,75-84,4,13923174,Unreliable
,Congenital stenosis of aortic valve,Q23.0,85+ years,85+,9,6287161,Unreliable
,Congenital insufficiency of aortic valve,Q23.1,< 1 year,1,6,3978038,Unreliable
,Congenital insufficiency of aortic valve,Q23.1,1-4 years,1-4,1,15929243,Unreliable
,Congenital insufficiency of aortic valve,Q23.1,15-24 years,15-24,2,43848216,Unreliable
,Congenital insufficiency of aortic valve,Q23.1,25-34 years,25-34,9,44137202,Unreliable
,Congenital insufficiency of aortic valve,Q23.1,35-44 years,35-44,9,40589783,Unreliable
,Congenital insufficiency of aortic valve,Q23.1,45-54 years,45-54,36,43188161,0.1
,Congenital insufficiency of aortic valve,Q23.1,55-64 years,55-64,24,40877819,0.1
,Congenital insufficiency of aortic valve,Q23.1,65-74 years,65-74,24,27550517,0.1
,Congenital insufficiency of aortic valve,Q23.1,75-84 years,75-84,7,13923174,Unreliable
,Congenital mitral stenosis,Q23.2,< 1 year,1,3,3978038,Unreliable
,Congenital mitral insufficiency,Q23.3,< 1 year,1,2,3978038,Unreliable
,Congenital mitral insufficiency,Q23.3,35-44 years,35-44,1,40589783,Unreliable
,Congenital mitral insufficiency,Q23.3,85+ years,85+,2,6287161,Unreliable
,Hypoplastic left heart syndrome,Q23.4,< 1 year,1,254,3978038,6.4
,Hypoplastic left heart syndrome,Q23.4,1-4 years,1-4,30,15929243,0.2
,Hypoplastic left heart syndrome,Q23.4,5-14 years,5-14,22,41109506,0.1
,Hypoplastic left heart syndrome,Q23.4,15-24 years,15-24,12,43848216,Unreliable
,Hypoplastic left heart syndrome,Q23.4,25-34 years,25-34,4,44137202,Unreliable
,Hypoplastic left heart syndrome,Q23.4,65-74 years,65-74,1,27550517,Unreliable
,"Congenital malformation of aortic and mitral valves, unspecified",Q23.9,< 1 year,1,3,3978038,Unreliable
,"Congenital malformation of aortic and mitral valves, unspecified",Q23.9,15-24 years,15-24,3,43848216,Unreliable
,"Congenital malformation of aortic and mitral valves, unspecified",Q23.9,35-44 years,35-44,2,40589783,Unreliable
,"Congenital malformation of aortic and mitral valves, unspecified",Q23.9,45-54 years,45-54,2,43188161,Unreliable
,"Congenital malformation of aortic and mitral valves, unspecified",Q23.9,55-64 years,55-64,2,40877819,Unreliable
,"Congenital malformation of aortic and mitral valves, unspecified",Q23.9,65-74 years,65-74,4,27550517,Unreliable
,"Congenital malformation of aortic and mitral valves, unspecified",Q23.9,75-84 years,75-84,1,13923174,Unreliable
,Dextrocardia,Q24.0,< 1 year,1,7,3978038,Unreliable
,Dextrocardia,Q24.0,55-64 years,55-64,1,40877819,Unreliable
,Laevocardia,Q24.1,15-24 years,15-24,1,43848216,Unreliable
,Cor triatriatum,Q24.2,< 1 year,1,1,3978038,Unreliable
,Congenital subaortic stenosis,Q24.4,25-34 years,25-34,4,44137202,Unreliable
,Congenital subaortic stenosis,Q24.4,45-54 years,45-54,3,43188161,Unreliable
,Congenital subaortic stenosis,Q24.4,55-64 years,55-64,2,40877819,Unreliable
,Congenital subaortic stenosis,Q24.4,65-74 years,65-74,2,27550517,Unreliable
,Congenital subaortic stenosis,Q24.4,75-84 years,75-84,5,13923174,Unreliable
,Congenital subaortic stenosis,Q24.4,85+ years,85+,3,6287161,Unreliable
,Malformation of coronary vessels,Q24.5,< 1 year,1,16,3978038,Unreliable
,Malformation of coronary vessels,Q24.5,1-4 years,1-4,5,15929243,Unreliable
,Malformation of coronary vessels,Q24.5,5-14 years,5-14,10,41109506,Unreliable
,Malformation of coronary vessels,Q24.5,15-24 years,15-24,24,43848216,0.1
,Malformation of coronary vessels,Q24.5,25-34 years,25-34,24,44137202,0.1
,Malformation of coronary vessels,Q24.5,35-44 years,35-44,17,40589783,Unreliable
,Malformation of coronary vessels,Q24.5,45-54 years,45-54,15,43188161,Unreliable
,Malformation of coronary vessels,Q24.5,55-64 years,55-64,16,40877819,Unreliable
,Malformation of coronary vessels,Q24.5,65-74 years,65-74,5,27550517,Unreliable
,Malformation of coronary vessels,Q24.5,75-84 years,75-84,6,13923174,Unreliable
,Malformation of coronary vessels,Q24.5,85+ years,85+,11,6287161,Unreliable
,Congenital heart block,Q24.6,< 1 year,1,6,3978038,Unreliable
,Congenital heart block,Q24.6,5-14 years,5-14,2,41109506,Unreliable
,Other specified congenital malformations of heart,Q24.8,< 1 year,1,37,3978038,0.9
,Other specified congenital malformations of heart,Q24.8,1-4 years,1-4,4,15929243,Unreliable
,Other specified congenital malformations of heart,Q24.8,5-14 years,5-14,4,41109506,Unreliable
,Other specified congenital malformations of heart,Q24.8,15-24 years,15-24,7,43848216,Unreliable
,Other specified congenital malformations of heart,Q24.8,25-34 years,25-34,1,44137202,Unreliable
,Other specified congenital malformations of heart,Q24.8,35-44 years,35-44,5,40589783,Unreliable
,Other specified congenital malformations of heart,Q24.8,45-54 years,45-54,8,43188161,Unreliable
,Other specified congenital malformations of heart,Q24.8,55-64 years,55-64,3,40877819,Unreliable
,Other specified congenital malformations of heart,Q24.8,65-74 years,65-74,5,27550517,Unreliable
,Other specified congenital malformations of heart,Q24.8,75-84 years,75-84,6,13923174,Unreliable
,Other specified congenital malformations of heart,Q24.8,85+ years,85+,6,6287161,Unreliable
,"Congenital malformation of heart, unspecified",Q24.9,< 1 year,1,542,3978038,13.6
,"Congenital malformation of heart, unspecified",Q24.9,1-4 years,1-4,76,15929243,0.5
,"Congenital malformation of heart, unspecified",Q24.9,5-14 years,5-14,46,41109506,0.1
,"Congenital malformation of heart, unspecified",Q24.9,15-24 years,15-24,62,43848216,0.1
,"Congenital malformation of heart, unspecified",Q24.9,25-34 years,25-34,78,44137202,0.2
,"Congenital malformation of heart, unspecified",Q24.9,35-44 years,35-44,87,40589783,0.2
,"Congenital malformation of heart, unspecified",Q24.9,45-54 years,45-54,65,43188161,0.2
,"Congenital malformation of heart, unspecified",Q24.9,55-64 years,55-64,46,40877819,0.1
,"Congenital malformation of heart, unspecified",Q24.9,65-74 years,65-74,13,27550517,Unreliable
,"Congenital malformation of heart, unspecified",Q24.9,75-84 years,75-84,6,13923174,Unreliable
,"Congenital malformation of heart, unspecified",Q24.9,85+ years,85+,11,6287161,Unreliable
,Patent ductus arteriosus,Q25.0,< 1 year,1,25,3978038,0.6
,Patent ductus arteriosus,Q25.0,15-24 years,15-24,1,43848216,Unreliable
,Patent ductus arteriosus,Q25.0,25-34 years,25-34,2,44137202,Unreliable
,Patent ductus arteriosus,Q25.0,35-44 years,35-44,1,40589783,Unreliable
,Patent ductus arteriosus,Q25.0,45-54 years,45-54,1,43188161,Unreliable
,Patent ductus arteriosus,Q25.0,55-64 years,55-64,1,40877819,Unreliable
,Patent ductus arteriosus,Q25.0,75-84 years,75-84,5,13923174,Unreliable
,Coarctation of aorta,Q25.1,< 1 year,1,26,3978038,0.7
,Coarctation of aorta,Q25.1,1-4 years,1-4,3,15929243,Unreliable
,Coarctation of aorta,Q25.1,35-44 years,35-44,2,40589783,Unreliable
,Coarctation of aorta,Q25.1,45-54 years,45-54,1,43188161,Unreliable
,Coarctation of aorta,Q25.1,55-64 years,55-64,1,40877819,Unreliable
,Coarctation of aorta,Q25.1,65-74 years,65-74,1,27550517,Unreliable
,Coarctation of aorta,Q25.1,85+ years,85+,2,6287161,Unreliable
,Atresia of aorta,Q25.2,65-74 years,65-74,1,27550517,Unreliable
,Stenosis of aorta,Q25.3,75-84 years,75-84,3,13923174,Unreliable
,Stenosis of aorta,Q25.3,85+ years,85+,6,6287161,Unreliable
,Other congenital malformations of aorta,Q25.4,< 1 year,1,6,3978038,Unreliable
,Other congenital malformations of aorta,Q25.4,15-24 years,15-24,2,43848216,Unreliable
,Other congenital malformations of aorta,Q25.4,25-34 years,25-34,1,44137202,Unreliable
